Date	Sunrise	Sunset	Day.Length	Difference	Noon	Distance
3-Jan-21	7:13 am	4:24 pm	9:10:33	+0:53	11:48 am	91.407
4-Jan-21	7:13 am	4:25 pm	9:11:31	+0:57	11:49 am	91.407
5-Jan-21	7:13 am	4:26 pm	9:12:32	+1:01	11:49 am	91.407
6-Jan-21	7:13 am	4:27 pm	9:13:37	+1:05	11:50 am	91.408
7-Jan-21	7:13 am	4:28 pm	9:14:46	+1:08	11:50 am	91.409
8-Jan-21	7:13 am	4:29 pm	9:15:58	+1:12	11:51 am	91.410
9-Jan-21	7:13 am	4:30 pm	9:17:15	+1:16	11:51 am	91.412
10-Jan-21	7:12 am	4:31 pm	9:18:35	+1:19	11:51 am	91.415
11-Jan-21	7:12 am	4:32 pm	9:19:58	+1:23	11:52 am	91.418
12-Jan-21	7:12 am	4:33 pm	9:21:25	+1:26	11:52 am	91.421
13-Jan-21	7:11 am	4:34 pm	9:22:56	+1:30	11:53 am	91.425
14-Jan-21	7:11 am	4:35 pm	9:24:29	+1:33	11:53 am	91.430
15-Jan-21	7:10 am	4:37 pm	9:26:06	+1:36	11:53 am	91.435
16-Jan-21	7:10 am	4:38 pm	9:27:46	+1:40	11:54 am	91.440
17-Jan-21	7:09 am	4:39 pm	9:29:29	+1:43	11:54 am	91.446
18-Jan-21	7:09 am	4:40 pm	9:31:16	+1:46	11:54 am	91.453
19-Jan-21	7:08 am	4:41 pm	9:33:05	+1:49	11:55 am	91.461
20-Jan-21	7:08 am	4:43 pm	9:34:57	+1:51	11:55 am	91.469
21-Jan-21	7:07 am	4:44 pm	9:36:51	+1:54	11:55 am	91.477
22-Jan-21	7:06 am	4:45 pm	9:38:49	+1:57	11:56 am	91.486
23-Jan-21	7:06 am	4:46 pm	9:40:49	+2:00	11:56 am	91.496
24-Jan-21	7:05 am	4:48 pm	9:42:51	+2:02	11:56 am	91.506
25-Jan-21	7:04 am	4:49 pm	9:44:56	+2:04	11:56 am	91.516
26-Jan-21	7:03 am	4:50 pm	9:47:04	+2:07	11:56 am	91.527
27-Jan-21	7:02 am	4:52 pm	9:49:13	+2:09	11:57 am	91.538
28-Jan-21	7:01 am	4:53 pm	9:51:25	+2:11	11:57 am	91.550
29-Jan-21	7:00 am	4:54 pm	9:53:39	+2:14	11:57 am	91.562
30-Jan-21	6:59 am	4:55 pm	9:55:55	+2:16	11:57 am	91.574
31-Jan-21	6:58 am	4:57 pm	9:58:13	+2:18	11:57 am	91.587
