COVID-19 Vaccinations in the United States
Date generated: Fri Apr 16 2021 15:21:19 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,3252900,N/A,N/A,2453989,N/A,2442273,N/A,1553206,N/A,1543559,N/A,884589,N/A,882834,N/A,1739400,1349100,164400,0,60244,1098234,1295112,399,363814,463446,57329,0,363778,461743,57313,0,827260,N/A,1543559,N/A,0,825521,0,1553206,152619,0,100635,0,34158,63674,2803,0,258879,0,0
Delaware,800805,82238,103975,625694,64255,621739,80725,394951,40.6,391824,50.9,236291,24.3,236032,30.6,413205,337000,50600,0,23725,251284,350507,178,85166,127747,23301,77,85151,127520,23284,77,212990,40.6,391824,50.9,21.9,212748,27.6,394951,160003,84.7,127145,67.3,51891,69026,6180,48,288745,152851,423917
Florida,17285825,80483,100220,12767808,59447,12718594,73740,7884848,36.7,7840667,45.5,4920302,22.9,4915619,28.5,8532225,7409800,1343800,0,521851,5644959,6581919,19079,2023033,2373974,517079,6216,2022426,2370146,516831,6216,4403223,36.7,7840667,45.5,20.5,4398788,25.5,7884848,3652729,81.2,2887591,64.2,1429601,1329691,123210,5089,6809549,151413,384357
Federated States of Micronesia,63200,60979,78177,28976,27958,28959,35822,17821,17.2,17805,22,11293,10.9,11292,14,0,61600,1600,0,95,28881,0,0,11174,21,98,0,11173,21,98,0,11195,17.2,17805,22,10.8,11194,13.8,17821,1630,9.3,1172,6.7,1140,5,27,0,2750,15608,358704
Georgia,7900615,74412,97376,5262259,49562,5221772,64359,3372331,31.8,3335255,41.1,1899992,17.9,1896508,23.4,3993015,3409700,497900,0,136137,2435339,2690489,294,883277,882499,134023,193,883155,879334,133826,193,1765969,31.8,3335255,41.1,16.6,1762682,21.7,3372331,1119877,73.8,884294,58.3,502830,363895,17452,117,2059921,135793,520821
Guam,140740,84902,108848,109194,65872,107540,83172,68499,41.3,66905,51.7,41096,24.8,41037,31.7,76440,53200,11100,0,1183,44233,63778,0,17554,22354,1188,0,17552,22297,1188,0,39908,41.3,66905,51.7,24.1,39849,30.8,68499,13218,46.9,10937,38.8,4632,6209,96,0,24222,85952,499414
Hawaii,1237740,87419,110908,911626,64386,907459,81313,548900,38.8,544992,48.8,387882,27.4,386973,34.7,665340,502400,70000,0,19167,319841,478858,93760,131631,218598,19599,18054,131559,217845,19532,18037,368283,38.8,544992,48.8,26,367441,32.9,548900,184474,68.7,148708,55.4,59178,83792,4329,1409,326943,121790,461073
Iowa,2420445,76716,99679,2034594,64486,2022249,83281,1258370,39.9,1247826,51.4,857061,27.2,855283,35.2,1187745,1070300,162400,0,89386,966855,978234,119,398910,369961,88150,40,398887,368245,88111,40,768911,39.9,1247826,51.4,24.4,767172,31.6,1258370,460910,83.4,404811,73.2,217285,180258,7238,30,862022,155894,437730
Idaho,1240315,69405,92639,944361,52844,944325,70532,563126,31.5,563056,42.1,394528,22.1,394503,29.5,603915,553300,83100,0,29763,426129,488057,412,170124,194584,29689,131,170121,194572,29679,131,364839,31.5,563056,42.1,20.4,364824,27.2,563126,217079,74.7,191893,66,89260,96054,6523,56,406797,139951,426709
Indian Health Svc,1648525,79149,N/A,1137200,54599,1115008,N/A,675604,32.4,661475,N/A,472725,22.7,464701,N/A,685425,890100,73000,0,18537,635209,483454,0,249657,204677,18391,0,249526,196811,18364,0,454334,32.4,661475,N/A,21.8,446337,0,675604,141186,0,108842,0,61866,45031,1945,0,251035,0,0
Illinois,10093045,79650,102426,7855924,61995,7804917,79206,5114175,40.4,5068775,51.4,3012658,23.8,3004019,30.5,5107245,4276600,709200,0,293988,3435080,4122833,4023,1252901,1463608,294793,1356,1252197,1456819,293649,1354,2717865,40.4,5068775,51.4,21.4,2710370,27.5,5114175,1650149,80.8,1193133,58.4,552147,595157,44967,862,2797452,136913,493974
Indiana,4717200,70069,91343,3575816,53115,3560517,68946,2180239,32.4,2167291,42,1480851,22,1479937,28.7,2336100,2043800,337300,0,122673,1521269,1925788,6086,594409,762928,121483,2031,594365,762121,121420,2031,1359368,32.4,2167291,42,20.2,1358517,26.3,2180239,828379,76.3,737939,68,372450,349217,14893,1379,1573637,144936,434467
Kansas,2339095,80290,105695,1758086,60347,1746610,78923,1147957,39.4,1136820,51.4,731678,25.1,729771,33,1135095,1060900,143100,0,54878,827546,875177,485,333835,342298,55410,135,333797,340464,55375,135,676268,39.4,1136820,51.4,23.2,674396,30.5,1147957,408662,85.9,325221,68.4,158105,156829,10210,77,703956,148049,491937
Kentucky,3377425,75597,97478,2755582,61678,2739466,79066,1697397,38,1684469,48.6,1172523,26.2,1169888,33.8,1676025,1479900,221500,0,104829,1251275,1399224,254,503772,566207,102365,179,503720,563674,102316,178,1070158,38,1684469,48.6,24,1067572,30.8,1697397,587433,78.3,477644,63.6,213322,239502,24709,111,1024009,136432,449985
Louisiana,3433110,73849,96404,2427942,52227,2417095,67874,1420282,30.6,1411412,39.6,1041033,22.4,1039159,29.2,1719510,1491200,222400,0,88898,1097509,1240590,945,421003,534299,85270,461,420952,532545,85202,460,955763,30.6,1411412,39.6,20.6,953957,26.8,1420282,541252,73,474583,64,216906,242004,15583,90,1021866,137900,463294
Massachusetts,5777290,83820,104289,4991916,72425,4957514,89491,3239232,47,3209646,57.9,1934940,28.1,1929632,34.8,2913690,2487600,376000,0,206285,2223404,2562158,69,834718,893264,206945,13,834436,888812,206371,13,1727995,47,3209646,57.9,25.1,1723261,31.1,3239232,1034815,88.5,824636,70.5,376430,395873,52324,9,1806692,154506,494068
Maryland,4889820,80881,103796,3921579,64866,3895816,82696,2509705,41.5,2487998,52.8,1609564,26.6,1605794,34.1,2510820,2067400,311600,0,182736,1720909,2015493,2441,663150,768790,176938,686,663077,765182,176849,686,1432626,41.5,2487998,52.8,23.7,1428945,30.3,2509705,780218,81.3,645637,67.3,311988,295113,38216,320,1372468,143055,509677
Maine,1128740,83970,103046,987358,73453,983548,89791,641125,47.7,637573,58.2,423789,31.5,423488,38.7,548340,500200,80200,0,69801,437456,480012,89,170941,183038,69786,24,170917,182788,69759,24,354003,47.7,637573,58.2,26.3,353729,32.3,641125,253236,88.8,218985,76.8,95733,105933,17308,11,452565,158647,395681
Marshall Islands,51300,87823,112594,23826,40789,23783,52199,13592,23.3,13556,29.8,10209,17.5,10200,22.4,0,40500,10800,0,14,23812,0,0,10189,2,18,0,10180,2,18,0,10191,23.3,13556,29.8,17.4,10182,22.3,13592,880,8.9,675,6.8,672,0,3,0,1554,15650,516616
Michigan,7717610,77278,98402,5921344,59291,5884047,75024,3737661,37.4,3702373,47.2,2475149,24.8,2472262,31.5,3856710,3340200,520700,0,221156,2619457,3079504,1227,1051689,1197329,225661,470,1051561,1194685,225546,470,2249488,37.4,3702373,47.2,22.5,2246716,28.6,3737661,1344486,76.2,1165648,66,583245,537828,44250,325,2438864,138148,437159
Minnesota,4144420,73487,95571,3662022,64934,3639252,83922,2321788,41.2,2301996,53.1,1556048,27.6,1552652,35.8,2085720,1791100,267600,0,193280,1590965,1877555,222,618185,742344,195463,56,618110,739152,195334,56,1360585,41.2,2301996,53.1,24.1,1357318,31.3,2321788,785947,85.4,696852,75.7,294619,364673,37537,23,1428681,155227,450293
Missouri,4660435,75935,97768,3366674,54855,3351018,70298,2031823,33.1,2019283,42.4,1348313,22,1346393,28.2,2428335,1956000,276100,0,111758,1356785,1897793,338,518834,716832,112597,50,518758,715085,112501,49,1235716,33.1,2019283,42.4,20.1,1233892,25.9,2031823,768577,72.4,626194,59,286171,316373,23629,21,1409972,132761,438820
Northern Mariana Islands,62910,110597,141791,34720,61039,34321,77355,19886,35,19544,44,14873,26.1,14816,33.4,42510,17800,2600,0,43,4403,30274,0,1942,12884,47,0,1942,12827,47,0,14826,35,19544,44,26.1,14769,33.3,19886,2335,24.1,2217,22.9,329,1849,39,0,4515,46691,650569
Mississippi,2213315,74368,97179,1429671,48038,1424685,62553,859885,28.9,855745,37.6,610460,20.5,609586,26.8,1071915,990400,151000,0,43936,694622,690256,857,288346,279144,42950,20,288311,278335,42920,20,567510,28.9,855745,37.6,19.1,566666,24.9,859885,340932,70.1,279166,57.4,147918,119447,11795,6,603113,123921,454766
Montana,874115,81786,104038,666324,62344,661019,78675,402846,37.7,398637,47.4,282968,26.5,281902,33.6,408915,404100,61100,0,21197,321504,323451,172,132466,129638,20811,53,132427,128621,20801,53,262157,37.7,398637,47.4,24.5,261101,31.1,402846,156490,75.8,132945,64.4,64160,63737,5018,30,283123,137147,423429
North Carolina,8002830,76304,97746,6043907,57626,5997275,73250,3718123,35.5,3679975,44.9,2483100,23.7,2474060,30.2,4043130,3415800,543900,0,232569,2547208,3263801,329,965842,1288113,229118,27,965350,1280357,228326,27,2253982,35.5,3679975,44.9,21.5,2245734,27.4,3718123,1314128,75,1120209,64,527905,567483,24800,21,2456414,140279,457019
North Dakota,587940,77151,101040,512370,67235,508208,87337,286317,37.6,283415,48.7,216079,28.4,215118,37,287040,269300,31600,0,21624,224148,266598,0,90669,106357,19053,0,90623,105510,18985,0,197026,37.6,283415,48.7,25.9,196133,33.7,286317,95743,79.9,82335,68.7,40473,39113,2749,0,183351,152990,490584
Nebraska,1504390,77770,103158,1256055,64932,1247743,85559,775900,40.1,768628,52.7,524782,27.1,523653,35.9,776490,631300,96600,0,49801,542538,661504,2212,214865,259010,50283,624,214824,257946,50259,624,474499,40.1,768628,52.7,24.5,473394,32.5,775900,257319,82.4,227523,72.8,109447,114015,3593,468,486989,155857,481470
New Hampshire,1082445,79608,98007,1075608,79106,1068189,96716,781912,57.5,775368,70.2,372094,27.4,371305,33.6,524745,474900,82800,0,49185,465026,561370,27,163388,158427,50270,9,163255,157792,50249,9,321824,57.5,775368,70.2,23.7,321056,29.1,781912,287619,99.9,176910,69.7,80552,84499,11854,5,441557,173934,426388
New Jersey,6966065,78427,100323,6076066,68407,6033422,86892,3977971,44.8,3944402,56.8,2542293,28.6,2532626,36.5,3562065,2958700,445300,0,266555,2691057,3117979,475,1063599,1210004,268672,18,1063468,1200574,268567,17,2273621,44.8,3944402,56.8,25.6,2264059,32.6,3977971,1200930,81.4,931728,63.1,430449,439214,62055,10,2025827,137294,472104
New Mexico,1843685,87927,113738,1578058,75259,1564263,96500,975654,46.5,965866,59.6,655962,31.3,650098,40.1,940485,778800,124400,0,45250,700041,830764,2003,263896,347083,44427,556,263779,341415,44348,556,611535,46.5,965866,59.6,29.2,605750,37.4,975654,314713,83.3,239028,63.3,107335,119053,12302,338,535719,141872,488256
Nevada,2166980,70353,90763,1774080,57597,1763850,73878,1094142,35.5,1084833,45.4,708126,23,707319,29.6,1092780,927300,146900,0,69996,742567,961517,0,280925,358048,69150,3,280894,357290,69132,3,638976,35.5,1084833,45.4,20.7,638187,26.7,1094142,368979,74.4,301851,60.9,142617,144924,14308,2,674794,136055,436916
New York State,15659135,80495,101516,13064837,67159,12987538,84197,8080703,41.5,8016281,52,5348409,27.5,5335255,34.6,7968285,6738700,952150,0,556756,5700035,6805805,2241,2187832,2608460,551666,451,2187502,2595902,551402,449,4796743,41.5,8016281,52,24.7,4783853,31,8080703,2444259,74.2,2005045,60.8,960362,931470,112947,266,4350028,131973,475074
Ohio,9078595,77667,99643,7080272,60572,7032263,77184,4317041,36.9,4273588,46.9,2912782,24.9,2909113,31.9,4687995,3856100,534500,0,280180,3117886,3676007,6199,1224392,1415587,271035,1768,1224320,1412092,270939,1762,2641747,36.9,4273588,46.9,22.6,2638174,29,4317041,1568530,76.7,1375543,67.2,631422,685492,57525,1104,2926414,143009,443655
Oklahoma,3359735,84907,111815,2415619,61047,2394560,79693,1438343,36.3,1423615,47.4,994536,25.1,988721,32.9,1667835,1499200,192700,0,64719,1109444,1241422,34,428271,502226,64019,20,428176,496537,63988,20,930517,36.3,1423615,47.4,23.5,924733,30.8,1438343,496060,78.1,400416,63,208579,179948,11884,5,893909,140744,528982
Oregon,3192025,75681,95251,2501531,59310,2486500,74198,1583802,37.6,1571478,46.9,1010493,24,1007456,30.1,1562925,1402500,226600,0,89302,1121569,1289281,1379,436800,485058,88397,238,436547,482530,88141,238,922096,37.6,1571478,46.9,21.9,919315,27.4,1583802,590726,77.1,478800,62.5,209965,237338,31374,123,1031252,134614,416670
Pennsylvania,10333705,80720,101636,8249758,64441,8215331,80801,5385761,42.1,5357423,52.7,3214140,25.1,3207203,31.5,5003505,4480700,849500,0,322543,3565731,4361270,214,1251989,1634019,327955,177,1251707,1627503,327817,176,2886185,42.1,5357423,52.7,22.5,2879386,28.3,5385761,2061776,86.1,1378116,57.6,628117,704972,44917,110,3401511,142123,431765
Puerto Rico,2670230,83609,101880,1502691,47052,1499786,57223,970386,30.4,967551,36.9,593407,18.6,593150,22.6,1317030,1166800,186400,0,48340,596887,857197,267,215312,329670,48413,12,215287,329486,48365,12,544994,30.4,967551,36.9,17.1,544785,20.8,970386,366990,67.6,274250,50.5,126692,138906,8649,3,629087,115869,491820
Rhode Island,873005,82409,102122,755476,71314,752580,88035,461877,43.6,459377,53.7,326821,30.9,326408,38.2,440505,378800,53700,0,36854,332003,386595,24,136406,153734,36678,3,136401,153340,36664,3,290143,43.6,459377,53.7,27.4,289744,33.9,461877,165721,88.6,148560,79.4,69656,74156,4746,2,310035,165753,466733
Republic of Palau,24600,137376,176129,16544,92388,16544,118451,8927,49.9,8927,63.9,7968,44.5,7968,57,0,20800,3800,0,197,16346,1,0,7757,14,197,0,7757,14,197,0,7771,49.9,8927,63.9,43.4,7771,55.6,8927,1477,48.5,1439,47.3,1340,8,91,0,2785,91491,808147
South Carolina,3812275,74043,94421,2819681,54765,2803351,69432,1736075,33.7,1721840,42.6,1136479,22.1,1134425,28.1,1989975,1565300,257000,0,94933,1108561,1615132,1055,403748,640021,92504,206,403634,638275,92310,206,1043975,33.7,1721840,42.6,20.3,1042115,25.8,1736075,731409,78.1,596091,63.6,247848,330552,17550,141,1314095,140241,406850
South Dakota,785375,88777,117649,619857,70067,615459,92196,373961,42.3,370316,55.5,265903,30.1,265133,39.7,371475,360600,53300,0,18002,289718,312124,13,122175,125664,18058,6,122153,124923,18051,6,247845,42.3,370316,55.5,28,247082,37,373961,132407,87.2,118988,78.3,61486,54957,2542,3,246287,162169,517133
Tennessee,4884080,71518,91821,3445369,50451,3428333,64453,2138487,31.3,2123604,39.9,1327292,19.4,1325274,24.9,2438280,2119300,326500,0,106033,1537639,1797331,4366,571176,651304,103546,1266,571097,649482,103431,1264,1223746,31.3,2123604,39.9,17.9,1221843,23,2138487,812482,71.1,642382,56.2,328859,294006,18699,818,1472143,128752,427157
Texas,20983185,72366,97162,16167944,55759,16016563,74164,9942195,34.3,9846932,45.6,6298033,21.7,6237687,28.9,10655385,8743800,1584000,0,622584,7162939,8381728,693,2605328,3082025,610131,549,2580364,3052494,604285,544,5689208,34.3,9846932,45.6,19.6,5634696,26.1,9942195,3295838,88.3,2829077,75.8,1170313,1384446,274071,247,5015735,134318,561915
Utah,2139650,66740,94060,1816866,56672,1796241,78963,1113131,34.7,1095393,48.2,591806,18.5,589409,25.9,1047150,954700,137800,0,81092,797533,938241,0,238121,275547,78138,0,238041,273308,78060,0,513668,34.7,1095393,48.2,16,511349,22.5,1113131,298762,81.7,192065,52.5,82232,99768,10065,0,551255,150669,584808
Virginia,6556955,76820,98236,5482281,64229,5441815,81529,3509424,41.1,3475700,52.1,2157020,25.3,2149692,32.2,3359655,2782700,414600,0,212105,2342295,2926517,1364,875066,1070530,211010,414,874539,1064330,210409,414,1946010,41.1,3475700,52.1,22.8,1939283,29.1,3509424,1094041,80.5,877013,64.5,416386,413398,46951,278,1930764,142082,482517
Veterans Health,5960085,N/A,N/A,4573935,N/A,4573629,N/A,2576401,N/A,2576168,N/A,2110281,N/A,2110194,N/A,2621385,2818500,520200,0,114759,2392134,2067040,2,1061313,934273,114694,1,1061292,934222,114679,1,1995587,N/A,2576168,N/A,0,1995515,0,2576401,1404908,0,1267774,0,706134,522073,39566,1,2633603,0,0
Virgin Islands,63440,60604,77697,55048,52587,54548,66807,30774,29.4,30490,37.3,22188,21.2,22024,27,41340,21400,700,0,298,18603,36147,0,7759,14117,312,0,7754,13958,312,0,21876,29.4,30490,37.3,20.9,21712,26.6,30774,10509,59.1,8115,45.6,3522,4462,131,0,18622,104641,356485
Vermont,556360,89162,109094,456442,73149,454816,89182,283986,45.5,282691,55.4,186187,29.8,185842,36.4,266760,249400,40200,0,22787,203703,229669,283,75473,88151,22476,87,75461,87834,22460,87,163711,45.5,282691,55.4,26.2,163382,32,283986,115571,92.4,93337,74.6,43360,49404,518,55,213536,170776,444949
Washington,5845400,76763,98212,4786678,62859,4763311,80031,2976554,39.1,2958005,49.7,1967611,25.8,1962808,33,2936700,2515100,393600,0,190598,2052241,2540646,3193,778271,997929,190696,715,778172,993316,190605,715,1776915,39.1,2958005,49.7,23.3,1772203,29.8,2976554,1005914,83.2,874082,72.3,394347,442758,36480,497,1860996,153837,483202
Wisconsin,4382535,75270,96196,3890347,66817,3861765,84765,2389763,41,2366195,51.9,1588828,27.3,1584823,34.8,2182635,1916600,283300,0,165309,1690616,2033997,425,640014,789120,159510,184,639942,785271,159427,183,1429318,41,2366195,51.9,24.5,1425396,31.3,2389763,859278,84.5,766968,75.4,374462,376521,15908,77,1646825,161891,430825
West Virginia,1460625,81501,101958,1063008,59315,1054006,73574,614417,34.3,606982,42.4,459631,25.6,458256,32,689325,675800,95500,0,18963,512774,531271,0,211355,228450,19779,47,211268,227187,19754,47,439852,34.3,606982,42.4,24.5,438502,30.6,614417,254211,69.3,221177,60.3,112986,104903,3258,30,474139,129189,397979
Wyoming,464275,80219,104326,323397,55878,321792,72309,186092,32.2,184856,41.5,139498,24.1,139199,31.3,211575,221300,31400,0,11163,156612,155447,175,63387,65609,10476,26,63382,65319,10472,26,129022,32.2,184856,41.5,22.3,128727,28.9,186092,71207,71.8,63288,63.8,32739,28845,1691,13,133169,134271,468118
